age;gender;w2efftrst14;w2efftrst15;w2efftrst16;w2efftrst18;populism_sum;populism;w2eupan1;w2eupan2;w2eupan3;w2eupan4;w2eupan5;w2eupan6;w2eupan7;w2eupan8;w2eupan9;w2eupan10;nativism_sum;nativism;w5EUref1;w6EUref1;w7EUref1;w10EUref1
52;0;;;;;;;;;;;;;;;;;;;3;3;3;
38;1;4;4;4;4;16;4;2;2;1;2;4;1;3;1;1;1;18;1,8;1;1;1;1
31;0;;;;;;;;;;;;;;;;;;;1;;;
51;0;;;;;;;;;;;;;;;;;;;1;1;1;1
57;0;5;4;5;4;18;4,5;5;2;2;3;5;2;4;3;3;1;30;3;1;1;1;1
60;0;;;;;;;;;;;;;;;;;;;1;1;1;
66;0;;;;;;;;;;;;;;;;;;;3;3;3;3
70;1;;;;;;;;;;;;;;;;;;;3;3;3;2
32;1;;;;;;;;;;;;;;;;;;;3;3;;2
67;0;5;5;5;4;19;4,75;4;5;5;4;5;3;5;4;5;1;41;4,1;3;3;2;
54;1;5;5;5;5;20;5;5;4;5;5;5;5;5;4;5;2;45;4,5;3;3;3;3
31;1;;;;;;;;;;;;;;;;;;;3;3;3;
75;0;;;;;;;;;;;;;;;;;;;1;1;1;1
72;0;;;;;;;;;;;;;;;;;;;3;3;3;3
59;1;;;;;;;;;;;;;;;;;;;2;2;2;2
57;0;;;;;;;;;;;;;;;;;;;1;1;1;1
57;1;;;;;;;;;;;;;;;;;;;1;2;2;1
71;1;4;4;4;4;16;4;1;2;1;2;3;1;2;1;1;1;15;1,5;1;1;1;
64;1;;;;;;;;;;;;;;;;;;;3;1;1;1
50;1;1;1;2;5;9;2,25;4;3;3;1;4;5;5;2;4;2;33;3,3;;;;
56;1;;;;;;;;;;;;;;;;;;;3;3;3;3
49;0;4;4;4;5;17;4,25;5;5;5;2;5;2;4;4;5;4;41;4,1;3;3;3;
71;0;;;;;;;;;;;;;;;;;;;1;1;1;
68;0;;;;;;;;;;;;;;;;;;;1;1;1;1
67;0;;;;;;;;;;;;;;;;;;;3;3;3;
36;0;;;;;;;;;;;;;;;;;;;3;;;
66;0;;;;;;;;;;;;;;;;;;;1;1;1;
69;1;;;;;;;;;;;;;;;;;;;;;;
68;1;;;;;;;;;;;;;;;;;;;3;3;3;2
71;1;;;;;;;;;;;;;;;;;;;1;1;1;
