V101,veto_app,rep,dem,ind,pres_app,cong_app,ed,ideol,weight,pres_cong_diff,cong_rate,cong_rate2,house_know,senate_know,chamber_know,news_int,pres_bin,cong_bin,col_grad
303503683,-1,1,0,0,1,NA,3,0,1.306276234,NA,0,0,0,0,0,3,0,NA,0
303625997,NA,1,0,0,1,2,3,-1,0.955567881,-1,1,1,0,0,0,2,0,0,0
304019713,-1,1,0,0,1,2,2,-2,0.230713139,-1,1,1,1,0,1,3,0,0,0
304089381,-2,1,0,0,1,1,4,-1,1.902723815,0,1,1,0,0,0,2,0,0,0
304263567,2,1,0,0,1,2,3,-1,0.4707372,-1,1,1,1,1,2,2,0,0,0
304439814,-2,1,0,0,1,3,2,0,1.494908535,-2,1,2,1,1,2,4,0,1,0
304675271,0,1,0,0,1,1,5,-1,1.409422977,0,1,1,1,1,2,4,0,0,1
304957360,2,1,0,0,1,1,6,-1,1.554920586,0,1,1,1,1,2,4,0,0,1
304959623,2,1,0,0,1,3,3,-1,1.223364555,-2,1,2,1,1,2,4,0,1,0
305023559,-2,1,0,0,1,3,2,-1,0.312832399,-2,1,2,1,1,2,1,0,1,0
305326135,1,1,0,0,1,2,2,1,1.628667307,-1,1,1,0,0,0,3,0,0,0
303276994,NA,NA,NA,NA,4,NA,5,0,0.494618979,NA,0,0,0,0,0,2,1,NA,1
304390669,-1,NA,NA,NA,1,2,2,0,0.164390193,-1,1,1,0,0,0,NA,0,0,0
304474878,0,NA,NA,NA,3,2,3,NA,0.792904478,1,1,1,0,0,0,2,1,0,0
302558531,2,0,1,0,4,NA,6,1,0.328217643,NA,0,0,1,1,2,4,1,NA,1
302737863,2,0,1,0,3,1,5,0,0.45232657,2,1,1,1,1,2,3,1,0,1
303181480,0,0,1,0,4,4,2,0,0.901253207,0,1,2,0,1,1,3,1,1,0
303189252,NA,0,1,0,4,3,2,0,1.41507719,1,1,2,1,0,1,2,1,1,0
303200157,0,0,1,0,4,3,6,-1,0.261293349,1,1,2,0,1,1,3,1,1,1
303219368,1,0,1,0,4,3,2,0,1.066839049,1,1,2,1,1,2,3,1,1,0
303220187,-1,0,1,0,1,1,6,1,1.110664388,0,1,1,1,1,2,4,0,0,1
303265650,1,0,1,0,3,3,3,1,0.463336165,0,1,2,1,1,2,1,1,1,0
303299639,1,0,1,0,4,1,4,1,1.185589282,3,1,1,1,1,2,4,1,0,0
303384339,1,0,1,0,1,1,1,0,7.005791393,0,1,1,0,1,1,3,0,0,0
303528372,1,0,1,0,4,2,3,0,0.874351187,2,1,1,1,1,2,2,1,0,0
303582546,1,0,1,0,3,2,2,0,1.156854516,1,1,1,1,1,2,4,1,0,0
303623178,1,0,1,0,3,2,6,0,0.573911798,1,1,1,1,1,2,4,1,0,1
303764492,2,0,1,0,1,1,5,0,0.340291085,0,1,1,1,1,2,2,0,0,1
303826396,2,0,1,0,4,1,3,0,0.464430629,3,1,1,1,1,2,4,1,0,0
303940158,2,0,1,0,3,1,4,1,0.336923741,2,1,1,1,1,2,1,1,0,0
304717726,2,0,1,0,4,3,2,2,0.167646464,1,1,2,1,0,1,2,1,1,0
305194813,-2,0,1,0,3,3,3,1,0.841730673,0,1,2,0,0,0,2,1,1,0
305275522,-1,0,1,0,3,1,2,0,0.584340954,2,1,1,1,1,2,3,1,0,0
305326134,0,0,1,0,3,3,2,1,1.451164163,0,1,2,1,1,2,3,1,1,0
301366648,2,0,1,0,4,1,5,1,0.412372771,3,1,1,1,1,2,4,1,0,1
302474559,0,0,1,0,4,2,3,1,0.682429721,2,1,1,0,0,0,3,1,0,0
302511116,2,0,1,0,4,1,4,1,0.675221672,3,1,1,1,1,2,4,1,0,0
302550190,2,0,1,0,4,1,3,2,0.296781054,3,1,1,1,1,2,4,1,0,0
302562083,2,0,1,0,4,1,5,1,0.753725657,3,1,1,1,1,2,4,1,0,1
302600639,2,0,1,0,4,1,3,2,3.431557249,3,1,1,1,1,2,4,1,0,0
302617105,2,0,1,0,4,1,6,2,0.208575502,3,1,1,1,1,2,4,1,0,1
302619045,2,0,1,0,4,1,4,2,0.631282034,3,1,1,1,1,2,4,1,0,0
302644154,1,0,1,0,4,1,2,1,2.236730193,3,1,1,1,1,2,4,1,0,0
302681110,2,0,1,0,4,3,3,-1,1.994345616,1,1,2,1,0,1,4,1,1,0
302837631,2,0,1,0,4,1,2,0,1.531624657,3,1,1,1,1,2,4,1,0,0
302875079,2,0,1,0,4,1,5,0,0.997450981,3,1,1,1,1,2,4,1,0,1
